model,precision@k,recall@k,ndcg@k,mrr@k,hit_rate@k,catalog_coverage,novelty@k,diversity@k,n_users_evaluated,k
user_user_cf,0.1626043405676127,0.14500171060450698,0.21890747523690204,0.39307841110846115,0.6477462437395659,0.03096802940848836,2.1868632077753034,0.7526285932543576,599,10
item_item_cf,0.15525876460767946,0.1264119879398176,0.21082557765950677,0.4017575588944537,0.6444073455759599,0.08622034087111508,2.804430129448449,0.7197215282879426,599,10
most_popular,0.12170283806343908,0.10425122803988854,0.16118004189979554,0.31159074648223223,0.5742904841402338,0.006349559986632505,1.664438362847608,0.7582602065327715,599,10
matrix_factorization,0.056260434056761274,0.04143156845749014,0.07239340670316928,0.1678703924530302,0.3555926544240401,0.04901414726523337,3.412941241842772,0.7809780565959555,599,10
highest_average,0.04641068447412354,0.0339829102955109,0.06187175697795691,0.1505935818957522,0.3005008347245409,0.00378745683413167,3.387811208466575,0.6640253392788433,599,10
content_based,0.00684474123539232,0.004727674202631619,0.00763405843810292,0.01871107931208098,0.06343906510851419,0.34064832349337193,7.282879969250337,0.08498567284044604,599,10
random,0.001335559265442404,0.0006501469647147584,0.0013560148994581514,0.0037469857169356337,0.01335559265442404,0.48947309791689875,7.567267139110667,0.8020352347398956,599,10
