variant,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10,coverage,novelty,diversity
TF-IDF genres,0.00684474123539232,0.004727674202631619,0.00763405843810292,0.01871107931208098,0.06343906510851419,0.34064832349337193,7.282879969250337,0.08498567284044604
Raw genre vectors,0.0058430717863105185,0.003532453427580168,0.005614937659028634,0.013007790762381746,0.05342237061769616,0.35201069399576695,7.288280069454971,0.07457369926441483
